"LSAT" "GPA"
"1" 622 3.23000001907349
"2" 542 2.82999992370605
"3" 579 3.24000000953674
"4" 653 3.11999988555908
"5" 606 3.08999991416931
"6" 576 3.39000010490417
"7" 620 3.09999990463257
"8" 615 3.40000009536743
"9" 553 2.97000002861023
"10" 607 2.91000008583069
"11" 558 3.10999989509583
"12" 596 3.24000000953674
"13" 635 3.29999995231628
"14" 581 3.22000002861023
"15" 661 3.4300000667572
"16" 547 2.91000008583069
"17" 599 3.23000001907349
"18" 646 3.47000002861023
"19" 622 3.15000009536743
"20" 611 3.32999992370605
"21" 546 2.99000000953674
"22" 614 3.19000005722046
"23" 628 3.02999997138977
"24" 575 3.00999999046326
"25" 662 3.39000010490417
"26" 627 3.41000008583069
"27" 608 3.03999996185303
"28" 632 3.28999996185303
"29" 587 3.16000008583069
"30" 581 3.17000007629395
"31" 605 3.13000011444092
"32" 704 3.35999989509583
"33" 477 2.5699999332428
"34" 591 3.01999998092651
"35" 578 3.02999997138977
"36" 572 2.88000011444092
"37" 615 3.36999988555908
"38" 606 3.20000004768372
"39" 603 3.23000001907349
"40" 535 2.98000001907349
"41" 595 3.10999989509583
"42" 575 2.92000007629395
"43" 573 2.84999990463257
"44" 644 3.38000011444092
"45" 545 2.75999999046326
"46" 645 3.26999998092651
"47" 651 3.35999989509583
"48" 562 3.19000005722046
"49" 609 3.17000007629395
"50" 555 3
"51" 586 3.10999989509583
"52" 580 3.0699999332428
"53" 594 2.96000003814697
"54" 594 3.04999995231628
"55" 560 2.9300000667572
"56" 641 3.27999997138977
"57" 512 3.00999999046326
"58" 631 3.21000003814697
"59" 597 3.3199999332428
"60" 621 3.24000000953674
"61" 617 3.02999997138977
"62" 637 3.32999992370605
"63" 572 3.07999992370605
"64" 610 3.13000011444092
"65" 562 3.00999999046326
"66" 635 3.29999995231628
"67" 614 3.15000009536743
"68" 546 2.8199999332428
"69" 598 3.20000004768372
"70" 666 3.44000005722046
"71" 570 3.00999999046326
"72" 570 2.92000007629395
"73" 605 3.45000004768372
"74" 565 3.15000009536743
"75" 686 3.5
"76" 608 3.16000008583069
"77" 595 3.19000005722046
"78" 590 3.15000009536743
"79" 558 2.80999994277954
"80" 611 3.16000008583069
"81" 564 3.01999998092651
"82" 575 2.74000000953674
